R0, ABI4_[TF]_bind+_LHCbGene_[Gbox]
R1, ABI4_[TF]_bind-_LHCbGene_[Gbox]
R2, PTM_[PHD]_bind+_ABI4Gene_[Promotor]
R3, PTM_[PHD]_bind-_ABI4Gene_[Promotor]
R4, PTM_nimp_PTM
R5, Protein1_CUT_PTM_[(Cterminus)]
R6, RNAPol_trsc_ABI4Gene
R7, RNAPol_trsc_LHCbGene
R8, Ribosome_trsl_ABI4mRNA
R9, Ribosome_trsl_LHCbmRNA
S0, ABI4Gene_[Promotor]--0
S1, ABI4Gene_[Promotor]--PTM_[PHD]
S2, ABI4_[TF]--0
S3, ABI4_[TF]--LHCbGene_[Gbox]
S4, ABI4mRNA
S5, LHCb
S6, LHCbGene_[Gbox]--0
S7, LHCbmRNA
S8, PTM_[(Cterminus)]-{0}
S9, PTM_[(Cterminus)]-{truncated}
S10, PTM_[(loc)]-{0}
S11, PTM_[(loc)]-{nucleus}
S12, PTM_[PHD]--0
S13, Protein1
S14, RNAPol
S15, Ribosome
