R0, EDS1_[sub]_i+_ICS1Gene_[Promotor]
R1, EDS1_[sub]_i-_ICS1Gene_[Promotor]
R2, EDS1_nimp_EDS1
R3, ICS1_syn_SA
R4, NPR1_[all]_i+_TGA_[classII]
R5, NPR1_[all]_i-_TGA_[classII]
R6, NPR1_nimp_NPR1
R7, PSII_[(Chlorophyll)]_engt_o2_[(o)]
R8, PSII_trip_PSII_[(Chlorophyll)]
R9, RNAPol_trsc_GTSGene
R10, RNAPol_trsc_ICS1Gene
R11, Ribosome_trsl_GTSmRNA
R12, Ribosome_trsl_ICS1mRNA
R13, SA_deoligo_NPR1_[(dimer)]
R14, TGA_[TF]_bind+_GTSGene_[Promotor]
R15, TGA_[TF]_bind-_GTSGene_[Promotor]
R16, betaCarotene_[all]_i+_EDS1_[A]
R17, betaCarotene_[all]_i-_EDS1_[A]
R18, betaCarotene_cexp_betaCarotene
R19, betaCarotene_cimp_betaCarotene
R20, o2_[(o)]_oxi_betaCarotene_[(cchain)]
S0, EDS1_[(loc)]-{0}
S1, EDS1_[(loc)]-{nucleus}
S2, EDS1_[A]--0
S3, EDS1_[A]--betaCarotene_[all]
S4, EDS1_[sub]--0
S5, EDS1_[sub]--ICS1Gene_[Promotor]
S6, GTS
S7, GTSGene_[Promotor]--0
S8, GTSGene_[Promotor]--TGA_[TF]
S9, GTSmRNA
S10, ICS1
S11, ICS1Gene_[Promotor]--0
S12, ICS1mRNA
S13, NPR1_[(dimer)]-{0}
S14, NPR1_[(dimer)]-{monomer}
S15, NPR1_[(loc)]-{0}
S16, NPR1_[(loc)]-{nucleus}
S17, NPR1_[all]--0
S18, NPR1_[all]--TGA_[classII]
S19, PSII_[(Chlorophyll)]-{0}
S20, PSII_[(Chlorophyll)]-{triplet}
S21, RNAPol
S22, Ribosome
S23, SA
S24, TGA_[TF]--0
S25, TGA_[classII]--0
S26, [GTS]
S27, [High_Light]
S28, betaCarotene_[(cchain)]-{0}
S29, betaCarotene_[(cchain)]-{oxidize}
S30, betaCarotene_[(loc)]-{0}
S31, betaCarotene_[(loc)]-{chloroplast}
S32, betaCarotene_[all]--0
S33, o2_[(o)]-{0}
S34, o2_[(o)]-{singulet}
